Video_ID,Views,Likes,Dislikes
oJW2Aaq8yp4,31427,722,40
oIrfH-o-OUU,667579,10498,377
oHFS23RjyP8,82600,199,47
oH85obU350E,2328305,32649,535
oGENSl7XF_s,447729,6976,408
oG5PhPV8gd8,2885598,84032,644
oEMmj1wlMTc,10807,155,46
oEGXQ0ZHEYo,587450,11543,335
oCfV1DD8oDI,56683,172,9
oCRRG0GnXpk,62134,1061,59
oAMqmsvYrHM,65901,667,41
o9J7BBLpncI,383722,4261,56
o8VjmZquB48,60657,1201,188
o8NW89_M1Qg,99738,1071,42
o7Ql4xmu9xk,456362,11946,105
o6bjjr51tGc,87395,520,80
o5Mz_NGj81k,5285225,121358,1014
o4nZhjODT7A,543479,6908,519
o465RifQdV8,1293,22,9
o2AsIXSh2xo,22336843,176281,7779
o12blT1iMtE,112302,810,73
o-PM1jnnXd4,7215,28,7
nz7F2K4-waw,113330,2425,66
nyKdEwPHfnE,62505,1181,67
nx3cgGfHiuk,189089,2735,183
nvJSM0OULG0,826,68,105
nr-lJ_MVljw,867005,8750,423
nqWKbwmDYTI,140612,2838,75
nqS_nsAU5KY,384044,4569,54
np7mgTQe1vM,190531,3608,70
no3NQMNj1zU,1236,54,19
nloOsVep1zg,37568,382,15
nkKjlXEp11Y,1081959,38172,173
nfkl2kF705I,20443,134,34
nfN0pmDXaPk,492114,4221,131
neasyWZRjsc,167991,5404,137
ndl1W4ltcmg,19077082,473334,17237
ncKGyNksAcw,545664,6355,223
nZYMqhPL8tI,10941,174,381
nXF7S_leuXk,50111,217,29
nWHUjuJ8zxE,12308717,69082,2518
nVti7GoAe6A,23860,499,36
nSO91H9gNE0,241769,3565,726
nRSarEfUoCc,8442,149,7
nPkr9HmglG0,2482724,45768,524
nPLsglRt1jI,63644,1635,13
nOO0Es4eARw,20668,590,31
